V1	C2	V3	C4
-0.0036317	-0.0013123	-0.0036317	-0.0013123
-0.00134281	-0.00054933	-0.00134281	-0.00054933
0.15674306	0.05154576	0.15674306	0.05154576
0.14007996	0.04593036	0.14007996	0.04593036
0.27134007	0.08902249	0.27134007	0.08902249
0.10217597	0.03344829	0.10217597	0.03344829
0.03848384	0.01254311	0.03848384	0.01254311
0.01449629	0.00469985	0.01449629	0.00469985
0.00549333	0.001648	0.00549333	0.001648
0.00207526	0.00057985	0.00207526	0.00057985
-0.18027283	-0.05923643	-0.18027283	-0.05923643
-0.15262307	-0.05014191	-0.15262307	-0.05014191
-0.35196996	-0.11572619	-0.35196996	-0.11572619
-0.13260293	-0.04345836	-0.13260293	-0.04345836
-0.04992828	-0.01638844	-0.04992828	-0.01638844
-0.0187994	-0.00613422	-0.0187994	-0.00613422
-0.00701926	-0.00244148	-0.00701926	-0.00244148
-0.00259407	-0.00103763	-0.00259407	-0.00103763
0.04498428	0.01480148	0.04498428	0.01480148
0.14697714	0.04809717	0.14697714	0.04809717
0.3027131	0.09918515	0.3027131	0.09918515
0.19522691	0.06393628	0.19522691	0.06393628
0.07348857	0.02417066	0.07348857	0.02417066
0.02764977	0.00909452	0.02764977	0.00909452
0.01040681	0.00335704	0.01040681	0.00335704
0.00393689	0.0011597	0.00393689	0.0011597
0.00146489	0.00045778	0.00146489	0.00045778
-0.17218544	-0.05661184	-0.17218544	-0.05661184
-0.14395581	-0.04727317	-0.14395581	-0.04727317
-0.2552568	-0.08398694	-0.2552568	-0.08398694
-0.09607227	-0.03176977	-0.09607227	-0.03176977
-0.03622547	-0.01181066	-0.03622547	-0.01181066
-0.01364177	-0.00439467	-0.01364177	-0.00439467
-0.00503555	-0.00186163	-0.00503555	-0.00186163
-0.00186163	-0.00067141	-0.00186163	-0.00067141
0.14831996	0.0487991	0.14831996	0.0487991
0.14700766	0.04828028	0.14700766	0.04828028
0.37534714	0.12329478	0.37534714	0.12329478
0.14142278	0.04620502	0.14142278	0.04620502
0.0532548	0.01733451	0.0532548	0.01733451
0.02005066	0.00640889	0.02005066	0.00640889
0.00750755	0.002472	0.00750755	0.002472
0.00283822	0.00088504	0.00283822	0.00088504
-0.06778161	-0.02203436	-0.06778161	-0.02203436
-0.15536973	-0.05096591	-0.15536973	-0.05096591
-0.30539873	-0.10037538	-0.30539873	-0.10037538
-0.18362987	-0.06042665	-0.18362987	-0.06042665
-0.06909391	-0.02285836	-0.06909391	-0.02285836
-0.02597125	-0.00866726	-0.02597125	-0.00866726
